Title,Actor,Written by,Directed by,Produced by,Budget,Story by,summary
Sonu Ke Titu Ki Sweety,Kartik Aaryan,Rahul ModyLuv Ranjan,Luv Ranjan,Bhushan KumarKrishan KumarLuv RanjanAnkur Garg,â‚¹25 crore[1],Luv Ranjan,"Hello there! As an AI teaching assistant, I'm here to help you understand the data provided about the movie ""Sonu Ke Titu Ki Sweety."" Here is a brief summary of the data:

The movie stars Kartik Aaryan as Sonu Sharma, Sunny Singh as Titu Sharma, and Nushrratt Bharuccha as Sweety Sharma. It also features Ishita Raj Sharma as Pihu Khanna, Alok Nath as Ghasitaram Sharma, Virendra Saxena as Lalwant ""Lalu"" Bansal, Madhumalti Kapoor as Rukmani Sharma, Ayesha Raza Mishra as Manju Sharma, and Pawan Chopra as Dharam Sharma. The movie is directed by Luv Ranjan and produced by Bhushan Kumar, Krishan Kumar, Luv Ranjan, and Ankur Garg.

The movie's music is composed by various artists, including Rochak Kohli, Yo Yo Honey Singh, Amaal Mallik, Guru Randhawa, Zack Knight, Saurabh-Vaibhav, Rajat Nagpal, and Hitesh Sonik. The cinematography is handled by Sudhir K. Chaudhary, while the editing is done by Akiv Ali. The movie was released on February 23, 2018, in India and has a running time of 138 minutes. It was distributed by AA Films and had a budget of ?25 crore ($3.6 million) and grossed ?152-156 crore ($21-23 million) at the box office.

I hope this summary helps you understand the data provided about ""Sonu Ke Titu Ki Sweety."" If you have any further questions or need additional information, feel free to ask!"
Luka Chuppi,Kartik Aaryan,Rohan Shankar,Laxman Utekar,Dinesh Vijan,â‚¹25 crore[2],,"The movie ""Luka Chuppi"" features Kartik Aaryan and Kriti Sanon in lead roles. The story follows Vinod ""Guddu"" Shukla, who is engaged to Rashmi Trivedi, but their identities get swapped with those of two other men due to a mix-up at the registration desk. The movie explores the hilarious consequences of this identity swap and how it affects the lives of the characters involved.

The movie was directed by Laxman Utekar, written by Rohan Shankar, and produced by Dinesh Vijan. It features a talented cast, including Kartik Aaryan and Kriti Sanon, as well as other actors like Pankaj Tripathi, Vinay Pathak, and Alka Amin. The movie's score was composed by Ketan Sodha, and the cinematography was handled by Milind Jog.

""Luka Chuppi"" was released on March 1st, 2019, and ran for approximately 126 minutes. It was distributed by AA Films and had a budget of ?25 crore. According to Box Office India, the movie grossed an estimated ?128.6 crore at the box office"
Pati Patni Aur Who,Kartik Aaryan,Mudassar Aziz,Mudassar Aziz,Bhushan KumarRenu Ravi ChopraJuno ChopraKrishan Kumar,â‚¹45 Crore[2],Kamleshwar,"Title: Pati Patni Aur Who
Actor: Kartik Aaryan
Cast: Kartik Aaryan as Er. Abhinav Arvind ""Chintu"" Kumar Tyagi, Ananya Panday as Tapasya Singh, Bhumi Pednekar as Vedika ""Guddi"" Tripathi, Aparshakti Khurana as Er. Fahim Abdul Rizvi, K. K. Raina as Professor Arvind Kumar Tyagi, Rajesh Sharma as Prem Tripathi, Navni Parihar as Kusum Tyagi, Geeta Agarwal Sharma as Hemlata Tripathi, Neeraj Sood as Brijesh Raj (B. R.) Pandey / ""Mausaji"", Shubham Kumar as Rakesh Yadav, Manu Rishi Chaddha as Inspector Mukhtar Singh, Lucknow Police

Production: nan
Directed by: Mudassar Aziz
Written by: Mudassar Aziz
Screenplay by: nan
Story by: Kamleshwar
Produced by: Bhushan KumarRenu Ravi ChopraJuno ChopraKrishan Kumar
Starring: Kartik AaryanBhumi PednekarAnanya Panday
Music by: Score:John Stewart EduriSongs:Tanishk BagchiRochak KohliSachet–ParamparaTony KakkarLijo George-DJ Chetas
Cinematography: Chirantan Das
Edited by: Ninad Khanolkar
Production company: nan
Distributed by: AA Films
Release date: 6 December 2019 (2019-12-06)
Running time: 126 minutes
Country: India
Language: Hindi
Budget: ?45 Crore
Box office: ?117.7 Crore

I hope this helps! Let me know if you have any further questions or if there's anything else I can help you with."
Love Aaj Kal ,Kartik Aaryan,Imtiaz Ali,Imtiaz Ali,Dinesh VijanImtiaz Ali,â‚¹50 crores[2],,"""Love Aaj Kal"" is a Hindi movie released in India on February 14th, 2020. It stars Kartik Aaryan and Sara Ali Khan in lead roles, with Randeep Hooda, Arushi Sharma, and others in supporting roles. The movie is directed by Imtiaz Ali and produced by Dinesh Vijan and Imtiaz Ali.

The movie's plot revolves around Kartik Aaryan's dual role as Veer Taneja and Raghuvendra ""Raghu"" Singh/Raj, Zoe's boyfriend. The story follows the characters as they navigate love, relationships, and heartbreak in modern-day India.

The movie was released with positive reviews from critics and audiences alike, praising Kartik Aaryan's performance and the movie's unique take on love and relationships. The film's budget was estimated to be around ?50 crores, and it grossed an estimated ?52.6 crore at the box office."
Dhamaka ,Kartik Aaryan,Puneet SharmaRam Madhvani,Ram Madhvani,Ronnie ScrewvalaAmita MadhvaniRam Madhvani,,,"""Dhamaka"" is a Hindi-language movie directed by Ram Madhvani and produced by Ronnie Screwvala, Amita Madhvani, and Ram Madhvani. The film stars Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Vikas Kumar, Vishwajeet Pradhan, Aeklavya Tomer, Soham Majumdar, Aishwarya Chaudhary, Mahender Singh, Ankita's assistant, Ritviq Joshi, Dilip Vasu, Ashish Ranglani, Dhwani Acharya, Anuj Gurwara, and Priya Tandon. The movie is about a journalist, radio jockey, and host of TRTV Bharosa 24/7 named Arjun Pathak (played by Kartik Aaryan) who gets embroiled in a conspiracy involving a politician and his assistant.

The movie was released on November 19, 2021, and has a running time of 104 minutes. It was distributed by Netflix and features music by Vishal Khurana, cinematography by Manu Anand, and editing by Monisha R. Baldawa and Amit Karia. The production company is unknown."
Bhool Bhulaiyaa 2,Kartik Aaryan,Story and Screenplay:Aakash KaushikDialogues:Farhad SamjiAakash Kaushik,Anees Bazmee,Bhushan KumarMurad KhetaniKrishan KumarAnjum Khetani,â‚¹70 crore[3][4][5],,"The movie ""Bhool Bhulaiyaa 2"" features Kartik Aaryan and Tabu as part of its cast. The film was directed by Anees Bazmee and written by Aakash Kaushik, Farhad Samji, and others. It was produced by Bhushan Kumar, Murad Khetani, Krishan Kumar, and Anjum Khetani, among others, with a budget of ?70 crore. The movie's release date was May 20, 2022, and it ran for 145 minutes. It was distributed by AA Films and had a box office collection of ?266.88 crore in India."
Freddy ,Kartik Aaryan,Parveez Shaikh,Shashanka Ghosh,Ekta KapoorShobha KapoorJay ShewakramaniGaurav Bose,,,"The data provided is about a movie titled ""Freddy"" starring Kartik Aaryan. The movie was directed by Shashanka Ghosh and written by Parveez Shaikh. It features an ensemble cast including Alaya F, Karan A. Pandit, Sajjad Delafrooz, Jeniffer Piccinato, Harshika Kewalramani, Tripti Agarwal, and Ashit Kumar. The movie was produced by Ekta Kapoor, Shobha Kapoor, Jay Shewakramani, and Gaurav Bose. The music is composed by Pritam, and the score is done by Clinton Cerejo. The cinematography is handled by Ayananka Bose, and the editing is done by Chandan Arora. The movie was released on December 2, 2022, in India and has a running time of 124 minutes."
Shehzada,Kartik Aaryan,Rajinder Krishan,K. Shankar,Surinder Kapoor,,Ra. Ki. Rangarajan,"The movie ""Shehzada"" was released on November 24th, 1972 in India. It stars Kartik Aaryan and features a cast including Rajesh Khanna, Raakhee, Madan Puri, Veena, Karan Dewan, Pandari Bai, Sunder, and Mohan Choti. The movie was directed by K. Shankar and written by Rajinder Krishan, with screenplay by R. K. Dharmraj and a story by Ra. Ki. Rangarajan. It was produced by Surinder Kapoor and features music by R. D. Burman. The cinematography was handled by Sharad Kawda, and the movie was edited by K. Shankar and G. Veluchamy. The production company is unknown, and the movie was distributed by Amar Chhaya. No information is available on the budget or box office performance of the movie."
Tu Jhoothi Main Makkaar,Kartik Aaryan,Rahul ModyLuv Ranjan,Luv Ranjan,"Luv Ranjan
Ankur Garg",est. â‚¹200 crore[2],Luv Ranjan,"The movie ""Tu Jhoothi Main Makkaar"" is directed by Luv Ranjan and produced by Ankur Garg. It features an all-star cast, including Ranbir Kapoor as Rohan ""Mickey"" Arora, Shraddha Kapoor as Nisha ""Tinni"" Malhotra, and Dimple Kapadia as Renu Arora, Mickey's mother. The movie follows the story of Mickey, who is in a complicated relationship with Tinni, while also dealing with his family's expectations and societal pressures. The movie features songs composed by Pritam, cinematography by Santhana Krishnan Ravichandran, and editing by Akiv AliChetan M. Solanki. It was released on March 8, 2023, in India and has a running time of 164 minutes. The budget for the movie is estimated to be around ?200 crore, and it has grossed ?220.10 crore at the box office."
Satyaprem Ki Katha,Kartik Aaryan,Karan Shrikant Sharma,Sameer Vidwans,Sajid NadiadwalaShareen Mantri KediaKishor Arora,â‚¹60 crore[2][3],,"he movie titled ""Satyaprem Ki Katha"" has Kartik Aaryan as Satyaprem ""Sattu"", Kiara Advani as Katha Kapadia, Gajraj Rao as Narayan, and other actors. It is directed by Sameer Vidwans and written by Karan Shrikant Sharma. The production company is Sajid Nadiadwala, Shareen Mantri Kedia, and Kishor Arora, and the movie features music composed by Hitesh Sonik, Meet Bros, Anjjan Bhattacharya, Tanishk Bagchi, Manan Bhardwaj, Payal Dev, Rochak Kohli, and Ali Sethi. The cinematography is by Ayananka Bose, and the editing is by Charu Shree Roy. The movie was released on June 29, 2023, in India and had a budget of ?60 crore. It grossed ?117.77 crore at the box office."
